selected,21175.java,69,83,,F,,
selected,2288080.java,25,31,,F,,
selected,943597.java,15,20,3,T,,
selected,2626685.java,112,126,3,T,,
sample,OpenFileInDesktopApp.java,7,14,Q,,,
sample,OpenURLInSystemBrowser.java,8,15,3,T,CR,
selected,827122.java,405,412,3,T,,
selected,1740244.java,29,42,3,T,,
selected,2444056.java,345,357,3,T,,
selected,2592168.java,86,99,,F,CR,
selected,1740244.java,22,44,3,T,,
selected,2417484.java,248,257,3,T,,
selected,1246977.java,71,82,3,T,,
selected,1311667.java,248,257,3,T,CR,
selected,1246977.java,133,144,,F,CR,
selected,597633.java,37,48,3,T,,
selected,1904827.java,144,155,3,T,,
selected,341410.java,75,82,,F,CR,
selected,1731967.java,72,79,,F,CR,
selected,598204.java,1052,1063,,F,,
sample,DeleteFolderRecursively.java,20,51,Q,,,
sample,CopyDirectoryTree.java,30,44,,F,CR,?? Got a method inside a method
selected,1658160.java,140,154,3,T,CR,
sample,DeleteFolderRecursively.java,39,49,,F,CR,?? Got a method inside a method
sample,DeleteFolderRecursively.java,29,37,,F,CR,?? Got a method inside a method
sample,DeleteFolderRecursively.java,22,27,,F,CR,?? Got a method inside a method
selected,619765.java,383,388,,F,CR,?? Got a method inside a method
selected,619765.java,441,447,,F,CR,?? Got a method inside a method
selected,2317036.java,36,53,,F,CR,
selected,619765.java,433,439,,F,CR,?? Got a method inside a method
selected,2744271.java,102,117,,F,CR,
selected,2578751.java,253,283,,F,CR,
selected,2220111.java,546,578,,F,CR,
selected,1658160.java,42,70,,F,,
selected,2744271.java,54,100,,F,CR,
selected,845746.java,50,64,,F,,
sample,PlaySound.java,29,44,Q,,,
selected,2464807.java,114,141,3,T,CR,**
selected,1309422.java,323,349,3,T,CR,** match with WifiNotFound()
selected,1309422.java,295,321,3,T,CR,** match with WifiFound()
selected,1309422.java,193,219,3,T,CR,
selected,1309422.java,165,191,3,T,CR,
selected,1309422.java,137,163,3,T,CR,
selected,1309422.java,109,135,3,T,CR,** match with GPSConnect()
selected,1309422.java,81,107,3,T,CR,** match with GPSDisconnect()
selected,1309422.java,49,75,3,T,CR,
selected,718658.java,17,45,3,T,CR,
default,125742.java,17,50,,F,,
selected,2289414.java,50,88,,F,,
selected,1207094.java,181,211,,F,,
selected,2619596.java,20,54,,F,,
selected,42910.java,108,144,,F,,
sample,DownloadWebpage.java,55,67,Q,,,
sample,DownloadWebpage.java,20,30,3,T,,
selected,237460.java,240,249,,F,CR,
selected,1688089.java,265,274,,F,CR,
selected,113970.java,265,274,,F,CR,
selected,756606.java,328,337,,F,CR,
selected,1063147.java,425,434,,F,CR,
selected,237460.java,259,268,,F,CR,
selected,1688089.java,284,293,,F,CR,
selected,113970.java,284,293,,F,CR,
selected,1070572.java,69,78,,F,CR,
selected,595798.java,23,33,3,T,CR,
selected,1832285.java,15,30,,F,,
selected,1869887.java,104,119,3,T,,
selected,1422483.java,524,536,3,T,CR,
selected,1196692.java,66,78,,F,,
sample,BubbleSort.java,129,145,Q,,,
sample,BubbleSort.java,21,37,3,T,,
sample,BubbleSort.java,165,181,3,T,,
sample,BubbleSort.java,57,73,3,T,,
sample,BubbleSort.java,93,109,3,T,,
sample,BubbleSort.java,201,217,3,T,,
sample,BubbleSort.java,238,254,3,T,,
default,87418.java,21,37,3,T,,
sample,BubbleSort.java,111,127,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,2343688.java,174,187,,F,,
sample,DeleteFolderRecursively.java,11,17,Q,,,
selected,2328079.java,92,97,2,T,CR,
selected,2371926.java,96,101,2,T,CR,
selected,1778774.java,78,83,2,T,CR,
selected,133258.java,62,67,2,T,CR,
selected,1800468.java,83,88,3,T,,
selected,1761360.java,80,85,2,T,CR,
selected,1676955.java,79,84,2,T,CR,
selected,1520403.java,349,354,2,T,CR,
selected,2239185.java,26,33,3,T,CR,
default,63378.java,22,28,3,T,,
default,63342.java,22,28,3,T,,
default,59445.java,22,28,3,T,,
default,58928.java,22,28,3,T,,
default,54531.java,22,28,3,T,,
default,42719.java,22,28,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
selected,2282501.java,15,25,3,T,,
selected,853582.java,50,59,3,T,,
selected,943597.java,15,20,3,T,,
selected,14032.java,23,34,3,T,,
selected,2626685.java,112,126,3,T,,
sample,BubbleSort.java,21,37,Q,,,
sample,BubbleSort.java,165,181,3,T,,
sample,BubbleSort.java,129,145,3,T,,
sample,BubbleSort.java,57,73,3,T,,
sample,BubbleSort.java,93,109,3,T,,
sample,BubbleSort.java,201,217,3,T,,
sample,BubbleSort.java,238,254,3,T,,
default,87418.java,21,37,3,T,,
sample,BubbleSort.java,3,19,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,2343688.java,174,187,,F,,
sample,BubbleSort.java,183,199,Q,,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
selected,12404.java,62,76,3,T,,
selected,579037.java,225,237,3,T,,
selected,1695775.java,96,110,3,T,,
default,6459.java,58,74,3,T,,
default,61517.java,58,74,3,T,,
default,102270.java,58,74,3,T,,
selected,2467194.java,201,216,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,219,236,3,T,,
selected,372059.java,33,47,3,T,,
sample,CopyDirectoryTree.java,30,44,Q,,,
sample,DeleteFolderRecursively.java,20,51,,F,CR,
selected,1658160.java,140,154,3,T,CR,
sample,DeleteFolderRecursively.java,22,27,,F,CR,?? Got a method inside a method
selected,2317036.java,36,53,,F,CR,
selected,2578751.java,253,283,,F,CR,
selected,2744271.java,102,117,,F,CR,
selected,619765.java,433,439,,F,CR,
selected,2744271.java,54,100,,F,CR,
selected,619765.java,375,381,,F,CR,
selected,2220111.java,546,578,,F,CR,
selected,845746.java,50,64,,F,,
selected,511144.java,249,272,,F,,
selected,1658160.java,42,70,,F,,
sample,DeleteFolderRecursively.java,29,37,,F,,
selected,1863934.java,56,113,,F,,
sample,WritePDF.java,14,29,Q,,,
selected,1406944.java,31,43,3,T,CR,
selected,1733496.java,24,37,3,T,CR,
selected,2157969.java,47,67,3,T,CR,
selected,635296.java,17,30,3,T,CR,
selected,2220702.java,22,35,3,T,CR,
selected,157046.java,25,46,,F,CR,
selected,1152815.java,25,39,,F,CR,
selected,193634.java,15,30,3,T,CR,
selected,429930.java,12,27,3,T,CR,
default,133849.java,8,21,3,T,,
selected,1757216.java,27,60,,F,,
default,26943.java,21,73,3,T,,
selected,2305576.java,22,35,3,T,CR,
selected,991916.java,14,26,,F,,
selected,1947631.java,22,40,,F,,
sample,ParseXML2Dom.java,17,34,Q,,,
selected,2020977.java,20,25,3,T,CR,
selected,1682702.java,23,28,3,T,CR,
selected,1524298.java,129,142,3,T,CR,
selected,1755186.java,33,44,3,T,CR,
selected,889040.java,31,38,3,T,CR,
selected,889040.java,24,29,3,T,CR,
selected,2575484.java,388,394,3,T,CR,
selected,606665.java,66,72,3,T,CR,
selected,18789.java,41,49,3,T,CR,
selected,1689287.java,45,53,3,T,CR,
selected,1090176.java,108,118,,F,,
selected,2547479.java,114,123,,F,,
selected,990393.java,19,25,,F,,
selected,716134.java,19,25,,F,,
selected,246979.java,23,29,,F,,
sample,CreateRSAKeys.java,27,32,Q,,,
selected,1019472.java,96,102,3,T,CR,** found different implementation (get DSA key pair instead)
selected,85367.java,206,212,3,T,CR,** found slightly different implementation of RSA
selected,1051125.java,43,49,3,T,CR,
selected,1481756.java,56,61,3,T,CR,
selected,555311.java,337,344,3,T,CR,** found different implementation (get DH key pair instead)
selected,2216717.java,80,86,3,T,CR,** found slightly different implementation of RSA
selected,2157032.java,44,50,3,T,CR,** found slightly different implementation of RSA
selected,2079872.java,82,88,3,T,CR,
selected,840512.java,48,54,3,T,CR,
selected,2389113.java,92,98,3,T,CR,** found slightly different implementation of RSA
selected,2092267.java,314,320,,F,,
selected,2087366.java,79,85,,F,,
selected,1983604.java,525,531,,F,,
sample,CreateRSAKeys.java,34,54,3,T,,
selected,1142289.java,62,67,,F,,
sample,FTP_FTP4J_Samples.java,22,27,Q,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
selected,2288080.java,25,31,3,T,CR,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
selected,1234261.java,382,412,3,T,,
selected,2282501.java,15,25,3,T,,
selected,1045878.java,30,42,,F,,
selected,1620218.java,280,289,3,T,,
sample,LoadFont.java,21,26,Q,,,
sample,LoadFont.java,14,19,3,T,,
selected,2584533.java,68,89,3,T,,
selected,2055524.java,27,45,3,T,,
selected,2042522.java,74,80,,F,CR,
selected,1925370.java,74,80,,F,CR,
selected,1978177.java,93,102,,F,CR,
selected,169000.java,223,232,,F,CR,
selected,1238225.java,19,33,,F,CR,
selected,2340916.java,398,427,3,T,,
selected,948406.java,326,355,3,T,,
default,131555.java,11,20,3,T,,
selected,2632627.java,23,40,,F,,
selected,2235649.java,127,134,,F,,
selected,2261893.java,1191,1198,3,T,,
selected,383097.java,247,269,,F,CR,
sample,LoadFileIntoByteArray.java,7,23,Q,,,
selected,2700222.java,36,51,3,T,CR,
selected,433386.java,91,105,3,T,CR,
selected,2526585.java,39,53,3,T,CR,
selected,225160.java,40,54,3,T,,
selected,1975622.java,90,104,3,T,,
selected,163137.java,36,50,3,T,CR,
selected,1422099.java,33,43,3,T,CR,
selected,683557.java,318,329,3,T,CR,
selected,2432188.java,351,362,3,T,,
selected,1716001.java,39,51,3,T,,
selected,728866.java,233,243,,F,,
selected,2517217.java,39,52,,F,,
selected,1567283.java,24,38,,F,,
selected,2497639.java,26,36,,F,CR,
selected,1035268.java,250,260,,F,,
sample,CopyFileSamples.java,63,69,Q,,,
sample,CopyFileSamples.java,55,61,2,T,,
selected,734567.java,14,24,3,T,CR,** Good example. Different implementation of copy file.
sample,CopyFileSamples.java,42,53,3,T,,
selected,1720162.java,15,21,2,T,CR,
selected,300610.java,56,65,3,T,CR,
selected,100454.java,56,66,,F,CR,
selected,836722.java,118,126,3,T,,
selected,77754.java,849,857,3,T,,
selected,591946.java,827,835,3,T,,
selected,499481.java,849,857,3,T,,
selected,2455851.java,855,863,3,T,,
selected,2077739.java,747,755,3,T,,
selected,1823751.java,50,58,3,T,,
selected,1704283.java,46,56,,F,,
selected,757911.java,21,31,,F,,
sample,BubbleSort.java,165,181,Q,,,
sample,BubbleSort.java,21,37,3,T,,
sample,BubbleSort.java,129,145,3,T,,
sample,BubbleSort.java,57,73,3,T,,
sample,BubbleSort.java,93,109,3,T,,
sample,BubbleSort.java,201,217,3,T,,
sample,BubbleSort.java,238,254,3,T,,
default,87418.java,21,37,3,T,,
sample,BubbleSort.java,147,163,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,2343688.java,174,187,,F,,
sample,DBUpdateAndRollback.java,31,50,Q,,,
sample,DBUpdateAndRollback.java,10,29,3,T,,
selected,955250.java,255,307,,F,CR,
selected,1005806.java,149,159,,F,CR,
selected,880736.java,46,72,,F,CR,
selected,209477.java,46,95,,F,CR,
selected,20699.java,87,136,,F,CR,
selected,1831338.java,45,94,,F,CR,
selected,138171.java,46,95,,F,CR,
selected,289693.java,610,630,3,T,CR,
selected,2182987.java,1346,1366,3,T,CR,
selected,1875654.java,67,78,,F,,
selected,2453391.java,71,120,,F,,
selected,2411651.java,236,285,,F,,
selected,2355280.java,48,97,,F,,
selected,1996720.java,49,98,,F,,
sample,BinarySearch.java,6,17,Q,,,
sample,BinarySearch.java,19,30,3,T,,
selected,2663331.java,292,299,3,T,CR,*** Very good example. Binary search implicitly implemented in getPuzzleNumber() method.
default,103246.java,20,26,3,T,CR,*** Very good example. Binary search implicitly implemented in redFind() method.
selected,1256273.java,23,32,3,T,,
default,11153.java,52,65,3,T,,
selected,735944.java,21,33,3,T,,
default,44699.java,997,1012,3,T,CR,*** Very good example. Binary search implicitly implemented in getSquareNum() method.
selected,747577.java,93,101,3,T,,
selected,1557565.java,228,240,3,T,,
selected,1508410.java,37,49,3,T,,
selected,541979.java,138,144,,F,,
selected,2436743.java,155,178,,F,,
selected,2120512.java,146,169,,F,,
selected,1889063.java,146,169,,F,,
selected,1849426.java,153,176,,F,,
sample,BubbleSort.java,39,55,Q,,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,12404.java,62,76,3,T,,
selected,579037.java,225,237,3,T,,
selected,1695775.java,96,110,3,T,,
default,6459.java,58,74,3,T,,
default,61517.java,58,74,3,T,,
default,102270.java,58,74,3,T,,
selected,2467194.java,201,216,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,219,236,3,T,,
sample,BubbleSort.java,57,73,3,T,,
sample,CRC32FileChecksum.java,11,20,Q,,<<--STOPPED HERE,
selected,552291.java,139,148,3,T,,
selected,1245191.java,29,39,,F,CR,
selected,2668206.java,151,158,,F,CR,
selected,2136701.java,38,47,,F,CR,
selected,2089577.java,183,191,,F,CR,
selected,1055991.java,179,187,,F,,
selected,469190.java,64,72,,F,,
selected,667744.java,153,163,3,T,,
selected,1937376.java,80,90,,F,,
selected,1935507.java,218,228,,F,,
selected,2038385.java,131,144,,F,,
selected,2509955.java,118,127,,F,,
selected,2394388.java,119,128,,F,,
selected,2297513.java,46,55,,F,,
selected,2022164.java,132,141,,F,,
sample,ExtactUsingRegex.java,9,17,Q,,,
selected,1242191.java,82,90,3,T,,
selected,1000219.java,20,28,3,T,CR,
selected,336247.java,77,85,3,T,CR,
selected,582000.java,137,148,3,T,CR,
selected,416858.java,70,78,,F,,
selected,2124064.java,69,77,,F,,
selected,104036.java,105,113,3,T,CR,
selected,1065422.java,391,403,,F,,
selected,2001845.java,41,50,3,T,,
selected,416804.java,136,146,,F,,
selected,1652665.java,270,286,,F,,
selected,2543850.java,253,282,,F,,
selected,2461264.java,50,62,,F,,
selected,2569421.java,57,70,3,T,CR,
selected,2093832.java,31,41,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
selected,2282501.java,15,25,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
selected,943597.java,15,20,3,T,,
selected,2652922.java,259,267,,F,,
selected,2434045.java,14,24,,F,,
selected,2626685.java,112,126,3,T,,
sample,BinarySearch.java,19,30,Q,,,
sample,BinarySearch.java,6,17,3,T,,
selected,2663331.java,292,299,3,T,CR,
sample,BinarySearch.java,48,61,3,T,,
selected,747577.java,93,101,3,T,,
selected,2187105.java,78,83,,F,,
selected,1256273.java,23,32,3,T,,
selected,1559389.java,324,330,3,T,CR,
selected,1559389.java,299,310,3,T,CR,** loop-based binary search
default,11153.java,52,65,3,T,,
selected,1559389.java,351,357,3,T,CR,
default,103246.java,20,26,,F,,
selected,747577.java,73,81,3,T,,
selected,1438761.java,250,266,3,T,,
selected,693901.java,48,91,,F,,
selected,2436743.java,155,178,,F,,
sample,ExecuteExternalProcessAndReadInput.java,10,36,Q,,,
selected,1878518.java,36,54,3,T,CR,
selected,88294.java,21,30,,F,,
selected,1133111.java,108,122,3,T,CR,
selected,363424.java,30,36,,F,,
default,92509.java,28,35,,F,,
selected,728689.java,85,134,,F,,
default,72953.java,24,71,3,T,,
default,65932.java,65,90,3,T,,
selected,876765.java,14,41,,F,,
selected,780887.java,218,249,,F,,
default,72953.java,73,126,3,T,,
selected,1342033.java,121,141,,F,,
selected,419663.java,14,24,,F,,
selected,2393524.java,36,55,,F,,
selected,1427149.java,15,282,,F,,
sample,getMACAddresInStandardForm.java,27,39,Q,,,
selected,1610413.java,306,318,3,T,,
sample,getMACAddresInStandardForm.java,9,25,3,T,,
selected,1373426.java,339,366,3,T,,
selected,2567199.java,62,69,,F,CR,
selected,2296872.java,1798,1817,3,T,,
selected,127208.java,32,41,3,T,,
selected,313150.java,87,97,3,T,CR,** different implementation
selected,2454224.java,16,38,3,T,,
selected,256020.java,79,100,3,T,,
selected,2544031.java,11,34,3,T,,
selected,524310.java,916,926,,F,,
selected,1423873.java,169,179,,F,CR,
selected,782936.java,97,107,,F,CR,
selected,2048374.java,27,73,,F,,
selected,198254.java,435,455,,F,CR,
sample,ShuffleArrayInPlace.java,16,32,Q,,,
sample,ShuffleArrayInPlace.java,50,66,3,T,,
selected,1999677.java,7,15,3,T,,
selected,674082.java,116,124,3,T,CR,
selected,2508563.java,184,192,3,T,CR,
selected,674082.java,103,111,,F,,
selected,2508563.java,171,179,,F,,
selected,171248.java,256,267,3,T,,
default,42085.java,58,69,3,T,,
sample,ShuffleArrayInPlace.java,34,48,3,T,,
selected,2681101.java,91,103,,F,,
selected,2212093.java,113,121,,F,,
selected,2616037.java,536,544,,F,,
selected,2536122.java,105,113,,F,,
selected,1783419.java,105,113,,F,,
selected,1645033.java,567,575,,F,,
sample,CallMethodUsingReflection.java,28,45,Q,,,
sample,CallMethodUsingReflection.java,20,26,3,T,,
sample,CallMethodUsingReflection.java,8,18,3,T,,
selected,318757.java,32,43,,F,CR,
selected,2388184.java,34,45,,F,CR,
selected,56283.java,97,119,,F,,
selected,1087705.java,176,181,,F,,
selected,983598.java,96,123,,F,,
selected,742749.java,425,448,,F,,
selected,1659029.java,42,63,3,T,CR,
selected,850489.java,112,139,,F,,
selected,849510.java,116,143,,F,,
selected,604446.java,96,123,,F,,
selected,543564.java,106,133,,F,,
selected,289288.java,96,123,,F,,
selected,2732819.java,96,123,,F,,
sample,UnZip.java,46,83,Q,,,
sample,UnZip.java,3,44,3,T,,
selected,818894.java,137,147,,F,CR,
selected,1889702.java,37,69,,F,,
selected,889273.java,280,326,,F,,
selected,1604703.java,252,279,,F,,
selected,2270906.java,55,65,,F,,
selected,1345347.java,43,53,,F,,
selected,1393490.java,34,62,,F,,
selected,2388088.java,185,208,,F,,
selected,1516404.java,146,181,,F,,
selected,368734.java,61,84,,F,,
selected,2196770.java,123,154,,F,,
sample,ZipFiles.java,11,39,,F,,
selected,2303224.java,40,74,,F,,
selected,1117559.java,89,110,,F,,
sample,ConvertDateFormat.java,8,19,Q,,,
selected,2448177.java,107,118,,F,,
selected,2355301.java,109,120,,F,,
selected,2448177.java,94,105,,F,,
selected,2355301.java,96,107,,F,,
selected,2355301.java,145,156,,F,,
selected,2576261.java,109,120,,F,,
selected,2576261.java,96,107,,F,,
selected,2448177.java,130,141,,F,,
selected,2355301.java,132,143,,F,,
selected,2070118.java,194,199,3,T,CR,
selected,485135.java,17,22,,F,,
selected,279773.java,67,72,,F,,
selected,1981699.java,17,22,,F,,
selected,2576261.java,132,143,,F,,
selected,1045100.java,635,640,,F,,
sample,SetUpGraphicalViewerSelectionEventHandler.java,2,9,Q,,,
selected,563390.java,240,246,,F,,
selected,2207773.java,159,165,,F,,
selected,1269058.java,432,438,,F,,
selected,1103602.java,75,87,,F,,
selected,636434.java,43,54,,F,,
selected,358420.java,39,50,,F,,
selected,1411212.java,46,57,,F,,
selected,694735.java,39,65,,F,,
selected,212333.java,80,91,,F,,
selected,2334092.java,413,421,,F,,
selected,1715965.java,16,36,,F,,
selected,1011484.java,150,164,,F,,
selected,2709211.java,32,45,,F,,
selected,1773109.java,32,45,,F,,
selected,2416278.java,35,53,,F,,
sample,XMPPSendMessage.java,10,26,Q,,,
selected,652416.java,81,92,3,T,,
selected,2646196.java,22,34,3,T,,
selected,172245.java,28,43,3,T,,
selected,2727082.java,97,112,3,T,,
selected,1260121.java,22,42,3,T,,
selected,2039854.java,31,105,3,T,,
selected,833807.java,118,146,3,T,,
selected,1989886.java,22,44,3,T,,
selected,510678.java,21,45,3,T,,
selected,2383306.java,27,40,3,T,,
selected,1246248.java,27,41,3,T,,
selected,1824506.java,755,778,3,T,,
selected,1763071.java,402,425,3,T,,
selected,1964860.java,41,55,3,T,,
selected,43984.java,49,57,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
selected,2282501.java,15,25,3,T,,
selected,2288080.java,25,31,3,T,CR,
selected,1234261.java,382,412,3,T,,
selected,943597.java,15,20,3,T,,
selected,1045878.java,30,42,,F,,
sample,FileChooser.java,9,36,Q,,,
sample,FileChooser.java,38,65,2,T,,
sample,FileChooser.java,67,94,3,T,,
sample,FileChooser.java,96,123,3,T,,
selected,2174721.java,90,107,3,T,CR,
selected,311720.java,105,114,,F,,
selected,121433.java,14,27,,F,,
selected,364620.java,29,37,,F,,
selected,2062971.java,79,91,,F,,
selected,731569.java,118,131,,F,,
selected,2736437.java,229,242,,F,,
selected,2119641.java,59,72,,F,,
selected,184446.java,384,397,,F,,
selected,2628336.java,172,182,3,T,CR,
selected,241515.java,721,735,,F,,
selected,1854089.java,1140,1154,,F,,
sample,ParseCSVFile.java,11,26,Q,,,
selected,1454690.java,27,49,3,T,CR,
selected,2281160.java,20,33,,F,CR,
selected,930071.java,33,47,,F,CR,
selected,278202.java,664,684,,F,CR,
selected,1138903.java,607,627,,F,CR,
selected,523222.java,65,79,,F,CR,
selected,902308.java,41,50,3,T,CR,
selected,2568080.java,19,34,,F,CR,
selected,1829605.java,127,158,,F,,
selected,1254857.java,884,998,,F,,
selected,735395.java,205,235,,F,,
selected,526991.java,386,401,,F,,
selected,691746.java,117,138,,F,,
selected,1626343.java,154,176,,F,,
selected,57169.java,125,136,,F,,
sample,PrimeFactors.java,18,28,Q,,,
selected,50360.java,8,18,2,T,,
sample,PrimeFactors.java,6,16,2,T,,
selected,2125324.java,110,123,3,T,,
selected,1794459.java,8,21,3,T,,
selected,700821.java,127,139,3,T,,
selected,1171447.java,76,90,3,T,,
selected,949275.java,29,41,3,T,,
selected,2269578.java,7,18,3,T,,
selected,1638888.java,7,18,3,T,,
selected,1625179.java,7,18,3,T,,
selected,1344356.java,7,18,3,T,,
selected,69878.java,14,25,3,T,,
selected,1527257.java,54,76,,F,,
selected,2336390.java,72,84,,F,,
default,76566.java,7,16,,F,,
sample,ParseXML2Dom.java,36,47,Q,,,
selected,973053.java,84,100,3,T,CR,** different implementation
selected,1765587.java,39,64,,F,,
selected,1816713.java,14,32,3,T,CR,
selected,2453840.java,13,50,,F,,
default,32872.java,11,48,,F,,
selected,213457.java,19,56,,F,,
selected,1765587.java,72,97,,F,,
selected,1393534.java,13,46,,F,,
selected,469130.java,12,59,,F,,
selected,2013522.java,106,133,,F,,
selected,2116436.java,498,527,,F,,
selected,2317798.java,21,179,,F,,
selected,1906525.java,402,533,,F,,
selected,237534.java,96,227,,F,,
selected,2116436.java,460,477,3,T,CR,
sample,BubbleSort.java,201,217,Q,,,
sample,BubbleSort.java,21,37,3,T,,
sample,BubbleSort.java,165,181,3,T,,
sample,BubbleSort.java,129,145,3,T,,
sample,BubbleSort.java,57,73,3,T,,
sample,BubbleSort.java,93,109,3,T,,
sample,BubbleSort.java,238,254,3,T,,
default,87418.java,21,37,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
selected,2343688.java,174,187,,F,,
sample,ResizeObjectArray.java,2,14,Q,,,
selected,1549754.java,28,37,3,T,,
selected,125045.java,192,202,3,T,,
selected,420047.java,148,155,3,T,,
selected,1820558.java,8,15,3,T,,
selected,530339.java,36,47,3,T,,
selected,62556.java,83,90,3,T,,
selected,92861.java,191,198,3,T,,
selected,653668.java,167,174,3,T,,
selected,2577087.java,41,49,3,T,,
selected,2542923.java,55,62,3,T,,
selected,2211592.java,285,292,3,T,,
selected,1727686.java,162,169,3,T,,
selected,1171071.java,18,25,3,T,CR,
selected,1366996.java,174,181,3,T,,
selected,2530570.java,254,265,3,T,,
sample,CreateJavaProject.java,16,42,Q,,,
selected,314706.java,321,342,3,T,CR,
selected,930644.java,64,107,,F,,
selected,791524.java,64,108,,F,,
selected,977856.java,81,89,,F,,
selected,2191998.java,35,86,3,T,,
selected,979210.java,63,71,3,T,CR,
selected,1735187.java,420,425,,F,CR,
selected,2331241.java,69,92,3,T,CR,
selected,2282690.java,71,94,3,T,CR,
selected,223344.java,75,121,3,T,,
selected,1201356.java,61,92,3,T,,
selected,963101.java,183,215,3,T,,
selected,1359154.java,364,416,3,T,,
selected,737939.java,92,130,,F,,
selected,1924247.java,59,81,3,T,CR,
sample,CopyFileSamples.java,71,79,Q,,,
selected,1831532.java,172,178,,F,CR,
selected,1822830.java,79,92,,F,CR,
