selected,611283.java,29,34,,F,,,
selected,253098.java,85,93,,F,,,
selected,2617018.java,90,108,,F,,,
selected,983598.java,96,123,,F,,,
selected,829101.java,144,152,,F,,,
sample,BubbleSort.java,111,127,Q,,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
selected,579037.java,225,237,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
selected,2606539.java,31,47,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,502121.java,187,209,3,T,,,
selected,21175.java,69,83,,F,,,
selected,1234261.java,382,412,3,T,,,
selected,943597.java,15,20,3,T,,,
sample,OpenFileInDesktopApp.java,7,14,Q,,,,
sample,OpenURLInSystemBrowser.java,8,15,3,T,CR,,
selected,827122.java,405,412,3,T,,,
selected,2444056.java,345,357,3,T,,,
selected,2592168.java,86,99,3,T,CR,* Found a variation of launching any app based on the file's type.,
selected,1740244.java,29,42,3,T,,,
selected,2417484.java,248,257,3,T,,,
selected,794727.java,36,48,3,T,,,
selected,1975126.java,36,48,3,T,,,
selected,598204.java,1052,1063,3,T,CR,,
selected,598204.java,1078,1089,3,T,CR,,
selected,1246977.java,71,82,3,T,,,
selected,597633.java,37,48,3,T,,,
selected,872412.java,62,74,,F,,,
selected,2246145.java,179,184,3,T,,,
selected,1740244.java,22,44,3,T,,,
sample,DeleteFolderRecursively.java,20,51,Q,,,,
selected,1658160.java,140,154,3,T,CR,,
sample,CopyDirectoryTree.java,30,44,,F,CR,?? Got a method inside a method,
sample,DeleteFolderRecursively.java,39,49,,F,CR,?? Got a method inside a method,
sample,DeleteFolderRecursively.java,29,37,,F,CR,?? Got a method inside a method,
sample,DeleteFolderRecursively.java,22,27,,F,CR,?? Got a method inside a method,
selected,2317036.java,36,53,,F,CR,,
selected,2220111.java,546,578,,F,CR,,
selected,619765.java,383,388,,F,CR,,
selected,619765.java,441,447,,F,CR,,
selected,2744271.java,102,117,,F,CR,,
selected,1658160.java,42,70,,F,,,
selected,2578751.java,253,283,,F,CR,,
selected,619765.java,433,439,,F,,,
selected,845746.java,50,64,,F,,,
selected,2744271.java,54,100,,F,CR,,
sample,PlaySound.java,29,44,Q,,,,
selected,2464807.java,114,141,3,T,CR,**,
selected,1207094.java,181,211,3,T,CR,,
selected,1309422.java,323,349,3,T,CR,** match with WifiNotFound(),
selected,1309422.java,295,321,3,T,CR,** match with WifiFound(),
selected,1309422.java,193,219,3,T,CR,,
selected,1309422.java,165,191,3,T,CR,,
selected,1309422.java,137,163,3,T,CR,,
selected,1309422.java,109,135,3,T,CR,** match with GPSConnect(),
selected,1309422.java,81,107,3,T,CR,** match with GPSDisconnect(),
selected,1309422.java,49,75,3,T,CR,,
selected,2454405.java,36,70,,F,,,
selected,42910.java,108,144,,F,,,
default,125742.java,17,50,,F,,,
selected,2289414.java,50,88,,F,,,
selected,2619596.java,20,54,,F,,,
sample,DownloadWebpage.java,55,67,Q,,,,
sample,DownloadWebpage.java,20,30,3,T,,,
selected,237460.java,240,249,,F,CR,,
selected,1688089.java,265,274,,F,CR,,
selected,113970.java,265,274,,F,CR,,
selected,878394.java,15,26,3,T,,,
selected,237460.java,259,268,,F,CR,,
selected,1688089.java,284,293,,F,CR,,
selected,113970.java,284,293,,F,CR,,
sample,DownloadWebpage.java,32,53,3,T,,,
selected,1070572.java,69,78,3,T,CR,,
selected,1422483.java,524,536,3,T,CR,,
selected,129106.java,331,343,,F,,,
selected,1196692.java,66,78,,F,,,
selected,1129009.java,68,83,,F,,,
selected,1864701.java,76,93,,F,,,
sample,BubbleSort.java,129,145,Q,,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
default,87418.java,21,37,3,T,,,
selected,2343688.java,174,187,,F,,,
sample,DeleteFolderRecursively.java,11,17,Q,,,,
selected,2328079.java,92,97,2,T,CR,,
selected,2371926.java,96,101,2,T,CR,,
selected,1778774.java,78,83,2,T,CR,,
selected,133258.java,62,67,2,T,CR,,
selected,1800468.java,83,88,3,T,,,
selected,1761360.java,80,85,2,T,CR,,
selected,1676955.java,79,84,2,T,CR,,
selected,2239185.java,26,33,3,T,CR,,
selected,1520403.java,349,354,2,T,CR,,
default,63378.java,22,28,3,T,,,
default,63342.java,22,28,3,T,,,
default,59445.java,22,28,3,T,,,
default,58928.java,22,28,3,T,,,
default,54531.java,22,28,3,T,,,
default,42719.java,22,28,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,444208.java,52,57,,F,,,
selected,1896742.java,52,57,,F,,,
selected,853582.java,50,59,3,T,,,
selected,1261347.java,181,189,,F,,,
sample,BubbleSort.java,21,37,Q,,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
selected,2343688.java,174,187,,F,,,
default,87418.java,21,37,3,T,,,
sample,BubbleSort.java,183,199,Q,,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
selected,579037.java,225,237,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
selected,2606539.java,31,47,3,T,,,
sample,CopyDirectoryTree.java,30,44,Q,,,,
sample,DeleteFolderRecursively.java,20,51,,F,CR,,
selected,1658160.java,140,154,3,T,CR,,
sample,DeleteFolderRecursively.java,22,27,,F,CR,?? Got a method inside a method,
selected,2317036.java,36,53,,F,CR,,
selected,2578751.java,253,283,,F,CR,,
selected,2744271.java,102,117,,F,CR,,
selected,619765.java,433,439,,F,CR,,
selected,2220111.java,546,578,,F,CR,,
selected,845746.java,50,64,,F,CR,,
selected,2744271.java,54,100,,F,CR,,
selected,1658160.java,42,70,,F,,,
selected,511144.java,249,272,,F,,,
selected,619765.java,375,381,,F,CR,,
sample,DeleteFolderRecursively.java,29,37,,F,,,
selected,1863934.java,56,113,,F,,,
sample,WritePDF.java,14,29,Q,,,,
selected,1406944.java,31,43,3,T,CR,,
selected,635296.java,17,30,3,T,CR,,
selected,2220702.java,22,35,3,T,CR,,
selected,2157969.java,47,67,3,T,CR,,
selected,1600867.java,26,52,3,T,CR,"* imp. In PDF, RTF, and HTML",
default,133849.java,8,21,3,T,,,
selected,1947631.java,22,40,3,T,CR,,
selected,991916.java,14,26,3,T,CR,,
selected,429930.java,12,27,3,T,CR,,
selected,773080.java,30,47,3,T,,,
selected,2731227.java,26,43,3,T,,,
selected,255762.java,26,43,,F,,,
selected,1253085.java,18,51,,F,,,
selected,1547202.java,14,27,,F,,,
selected,2516317.java,14,27,,F,,,
sample,ParseXML2Dom.java,17,34,Q,,,,
selected,2020977.java,20,25,3,T,CR,,
selected,1682702.java,23,28,3,T,CR,,
selected,889040.java,24,29,3,T,CR,,
selected,889040.java,31,38,3,T,CR,,
selected,246979.java,23,29,3,T,CR,,
selected,1689287.java,45,53,3,T,CR,,
selected,606665.java,66,72,3,T,CR,,
selected,990393.java,19,25,3,T,CR,,
selected,716134.java,19,25,3,T,CR,,
selected,18789.java,41,49,3,T,CR,,
selected,2693592.java,57,63,,F,,,
selected,1755186.java,33,44,3,T,CR,,
selected,1350980.java,196,201,,F,,,
selected,2195389.java,53,61,,F,,,
selected,2575484.java,388,394,,F,,,
sample,CreateRSAKeys.java,27,32,Q,,,,
selected,1481756.java,56,61,3,T,CR,,
selected,555311.java,337,344,3,T,CR,** found different implementation (get DH key pair instead),
selected,1019472.java,96,102,3,T,CR,* DSA,
selected,85367.java,206,212,3,T,CR,** found slightly different implementation of RSA,
selected,1051125.java,43,49,3,T,CR,,
sample,CreateRSAKeys.java,34,54,3,T,,,
selected,2216717.java,80,86,3,T,CR,** found slightly different implementation of RSA,
selected,2157032.java,44,50,3,T,CR,** found slightly different implementation of RSA,
selected,2079872.java,82,88,3,T,CR,,
selected,840512.java,48,54,3,T,CR,,
selected,2389113.java,92,98,3,T,CR,** found slightly different implementation of RSA,
selected,2092267.java,314,320,,F,,,
selected,2087366.java,79,85,,F,,,
selected,1983604.java,525,531,,F,,,
selected,58801.java,82,95,,F,,,
sample,FTP_FTP4J_Samples.java,22,27,Q,,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,2288080.java,25,31,3,T,CR,,
selected,1234261.java,382,412,3,T,,,
selected,1045878.java,30,42,,F,,,
selected,1620218.java,280,289,3,T,,,
sample,LoadFont.java,21,26,Q,,,,
sample,LoadFont.java,14,19,3,T,,,
selected,2584533.java,68,89,3,T,,,
selected,2340916.java,398,427,3,T,,,
selected,948406.java,326,355,3,T,,,
default,131555.java,11,20,3,T,,,
selected,2055524.java,27,45,3,T,,,
selected,2261893.java,1191,1198,3,T,,,
selected,1372632.java,53,58,,F,CR,,
selected,38603.java,275,282,,F,CR,,
selected,1484466.java,288,295,,F,CR,,
selected,864100.java,64,90,3,T,,,
selected,2064356.java,208,224,3,T,,,
selected,1837166.java,147,154,,F,,,
selected,1114077.java,71,78,,F,,,
selected,2042522.java,74,80,,F,CR,,
sample,LoadFileIntoByteArray.java,7,23,Q,,,,
selected,2700222.java,36,51,3,T,CR,,
selected,433386.java,91,105,3,T,CR,,
selected,2526585.java,39,53,3,T,CR,,
selected,225160.java,40,54,3,T,,,
selected,1975622.java,90,104,3,T,,,
selected,163137.java,36,50,3,T,CR,,
selected,728866.java,233,243,3,T,CR,,
selected,1705597.java,310,319,3,T,CR,,
selected,1035268.java,250,260,3,T,CR,,
selected,2517217.java,39,52,3,T,CR,* almost similar except does not return the byte array but tries to call toString(),
selected,683557.java,318,329,3,T,CR,,
selected,2432188.java,351,362,3,T,,,
selected,723855.java,196,206,,F,,,
selected,1847518.java,27,38,,F,,,
selected,1567283.java,24,38,,F,,,
sample,CopyFileSamples.java,63,69,Q,,,,
sample,CopyFileSamples.java,55,61,2,T,,,
sample,CopyFileSamples.java,42,53,3,T,,,
selected,734567.java,14,24,3,T,CR,** Good example. Different implementation of copy file.,
selected,1704283.java,46,56,3,T,CR,,
selected,757911.java,21,31,3,T,CR,,
selected,574710.java,21,35,3,T,CR,,
selected,300610.java,56,65,3,T,CR,,
selected,1511670.java,1892,1902,3,T,CR,,
selected,100454.java,56,66,,F,CR,* found file extraction instead,
selected,836722.java,118,126,3,T,,,
selected,77754.java,849,857,3,T,,,
selected,591946.java,827,835,3,T,,,
selected,499481.java,849,857,3,T,,,
selected,2455851.java,855,863,3,T,,,
selected,2077739.java,747,755,3,T,,,
sample,BubbleSort.java,165,181,Q,,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
default,87418.java,21,37,3,T,,,
selected,2343688.java,174,187,,F,,,
sample,DBUpdateAndRollback.java,31,50,Q,,,,
sample,DBUpdateAndRollback.java,10,29,3,T,,,
selected,209477.java,46,95,3,T,CR,* a much longer version,
selected,20699.java,87,136,3,T,CR,* a much longer version,
selected,1831338.java,45,94,3,T,CR,* a much longer version,
selected,138171.java,46,95,3,T,CR,* a much longer version,
selected,1005806.java,149,159,3,T,CR,* use execute() instead of executeUpdate(),
selected,2453391.java,71,120,3,T,CR,* a much longer version,
selected,2411651.java,236,285,3,T,CR,* a much longer version,
selected,2355280.java,48,97,3,T,CR,* a much longer version,
selected,1996720.java,49,98,3,T,CR,* a much longer version,
selected,1826741.java,45,58,,F,,,
selected,2553367.java,225,240,,F,,,
selected,1005806.java,221,231,,F,,,
selected,372783.java,123,148,,F,,,
selected,2553367.java,190,223,,F,,,
sample,BinarySearch.java,6,17,Q,,,,
sample,BinarySearch.java,19,30,3,T,,,
default,103246.java,20,26,3,T,CR,,
selected,2663331.java,292,299,3,T,CR,*** Very good example. Binary search implicitly implemented in getPuzzleNumber() method.,
default,44699.java,997,1012,3,T,CR,*** Very good example. Search for square numbers using binary search.,
selected,541979.java,138,144,3,T,CR,*** Very good example. Search for index numbers using binary search.,
selected,1256273.java,23,32,3,T,CR,*** Very good example. Recursively search for a number using binary search.,
selected,747577.java,93,101,3,T,,,
default,106936.java,11,18,3,T,,,
selected,735944.java,21,33,3,T,,,
default,11153.java,52,65,3,T,,,
selected,553475.java,92,99,3,T,CR,*** Very good example. Binary search implicitly implemented in getPuzzleNumber() method.,
selected,108362.java,260,267,3,T,CR,*** Very good example. A much different version of binary search using loop.,
selected,1370363.java,63,72,3,T,,,
selected,747577.java,73,81,3,T,,,
selected,1065082.java,165,172,,F,,,
sample,BubbleSort.java,39,55,Q,,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
selected,579037.java,225,237,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
selected,2606539.java,31,47,3,T,,,
sample,CRC32FileChecksum.java,11,20,Q,,,,
selected,552291.java,139,148,3,T,,,
selected,1245191.java,29,39,,F,CR,,
selected,667744.java,153,163,3,T,,,
selected,2668206.java,151,158,,F,CR,,
selected,709312.java,48,55,3,T,,,
selected,684416.java,73,80,3,T,CR,,
selected,1239467.java,51,59,,F,CR,,
selected,2245750.java,294,308,,F,CR,,
selected,1810839.java,294,308,,F,CR,,
selected,1495157.java,294,308,,F,CR,,
selected,1935035.java,300,311,3,T,,,
selected,2299052.java,57,64,,F,,,
selected,1937376.java,80,90,,F,,,
selected,1935507.java,218,228,,F,,,
selected,1397797.java,405,414,3,T,,,
sample,ExtactUsingRegex.java,9,17,Q,,,,
selected,1242191.java,82,90,3,T,,,
selected,336247.java,77,85,3,T,CR,,
selected,1000219.java,20,28,3,T,CR,,
selected,2093832.java,31,41,3,T,,,
selected,2001845.java,41,50,3,T,,,
selected,416804.java,136,146,3,T,CR,,
selected,582000.java,137,148,3,T,CR,,
selected,104036.java,105,113,3,T,CR,,
selected,2055704.java,238,249,3,T,,,
selected,1652665.java,270,286,3,T,CR,* Interesting. Find a pattern shared between two strings usig regexp.,
selected,1065422.java,391,403,,F,,,
selected,2657708.java,10,18,,F,,,
selected,2461264.java,50,62,,F,,,
selected,2543850.java,253,282,,F,,,
selected,576449.java,163,171,,F,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
selected,943597.java,15,20,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,305499.java,19,27,3,T,,,
selected,2626685.java,112,126,3,T,,,
selected,730855.java,43,56,,F,,,
sample,BinarySearch.java,19,30,Q,,,,
sample,BinarySearch.java,6,17,3,T,,,
sample,BinarySearch.java,48,61,3,T,,,
selected,747577.java,93,101,3,T,,,
selected,1559389.java,299,310,3,T,CR,** loop-based binary search,
selected,747577.java,63,71,3,T,,,
selected,1559389.java,351,357,3,T,CR,,
selected,1559389.java,324,330,3,T,CR,,
selected,2663331.java,292,299,3,T,CR,,
selected,747577.java,73,81,3,T,,,
selected,1091355.java,26,41,3,T,CR,* binary search in a find() method.,
selected,1998148.java,379,385,,F,,,
selected,1569037.java,95,111,,F,,,
selected,306598.java,8,13,,F,,,
selected,2586882.java,25,30,,F,,,
selected,2168181.java,132,159,,F,,,
sample,ExecuteExternalProcessAndReadInput.java,10,36,Q,,,,
selected,1878518.java,36,54,3,T,CR,,
selected,88294.java,21,30,3,T,CR,,
selected,1133111.java,108,122,3,T,CR,,
default,65932.java,65,90,3,T,,,
selected,363424.java,30,36,3,T,CR,,
default,92509.java,28,35,3,T,CR,,
selected,780887.java,218,249,3,T,CR,,
default,72953.java,24,71,3,T,,,
selected,1342033.java,121,141,3,T,CR,,
selected,876765.java,14,41,3,T,CR,,
selected,2005276.java,175,202,,F,,,
selected,989957.java,90,120,,F,,,
selected,2393524.java,36,55,,F,,,
default,72953.java,73,126,3,T,,,
selected,264260.java,30,45,,F,,,
sample,getMACAddresInStandardForm.java,27,39,Q,,,,
selected,1610413.java,306,318,3,T,,,
sample,getMACAddresInStandardForm.java,9,25,3,T,,,
selected,1373426.java,339,366,3,T,,,
selected,2296872.java,1798,1817,3,T,,,
selected,2567199.java,62,69,,F,CR,,
selected,127208.java,32,41,3,T,,,
selected,256020.java,79,100,3,T,,,
selected,524310.java,916,926,3,T,CR,,
selected,2454224.java,16,38,3,T,,,
selected,313150.java,87,97,3,T,CR,** different implementation,
selected,2544031.java,11,34,3,T,,,
selected,2048374.java,27,73,,F,,,
selected,256821.java,314,323,,F,,,
selected,1384795.java,88,107,,F,,,
selected,1423873.java,169,179,,F,CR,,
sample,ShuffleArrayInPlace.java,16,32,Q,,,,
sample,ShuffleArrayInPlace.java,50,66,3,T,,,
sample,ShuffleArrayInPlace.java,34,48,3,T,,,
selected,2212093.java,113,121,3,T,CR,,
selected,1999677.java,7,15,3,T,,,
selected,2644288.java,12,19,3,T,,,
selected,1632131.java,1216,1223,,F,CR,* found reverse array instead.,
selected,918764.java,7,15,3,T,,,
selected,918764.java,17,25,3,T,,,
selected,918764.java,27,35,3,T,,,
selected,2668206.java,11,19,,F,CR,,
selected,1706354.java,12,20,,F,CR,,
selected,674082.java,116,124,3,T,CR,,
selected,2508563.java,184,192,3,T,CR,,
selected,1632131.java,1207,1214,3,T,,,
selected,674082.java,103,111,,F,,,
sample,CallMethodUsingReflection.java,28,45,Q,,,,
sample,CallMethodUsingReflection.java,20,26,3,T,,,
sample,CallMethodUsingReflection.java,8,18,3,T,,,
selected,56283.java,97,119,3,T,CR,,
selected,983598.java,96,123,3,T,CR,,
selected,850489.java,112,139,3,T,CR,,
selected,849510.java,116,143,3,T,CR,,
selected,604446.java,96,123,3,T,CR,,
selected,543564.java,106,133,3,T,CR,,
selected,289288.java,96,123,3,T,CR,,
selected,2732819.java,96,123,3,T,CR,,
selected,2538714.java,107,134,,F,,,
selected,2262718.java,102,130,,F,,,
selected,2081805.java,96,123,,F,,,
selected,2031034.java,96,123,,F,,,
selected,1028661.java,101,128,,F,,,
sample,UnZip.java,46,83,Q,,,,
sample,UnZip.java,3,44,3,T,,,
selected,992903.java,21,40,3,T,CR,,
selected,889273.java,280,326,3,T,CR,,
selected,1117559.java,89,110,3,T,CR,,
selected,2270906.java,55,65,,F,CR,* found copy instead,
selected,1345347.java,43,53,,F,CR,* found copy instead,
selected,2303224.java,40,74,3,T,CR,* download and unzip,
selected,269844.java,72,93,,F,CR,,
selected,587362.java,242,251,,F,CR,,
selected,1635479.java,24,74,3,T,CR,* download and unzip,
selected,1521323.java,114,159,,F,,,
selected,502157.java,88,108,,F,,,
selected,2049826.java,24,45,,F,,,
selected,2388088.java,185,208,,F,,,
default,132256.java,29,65,,F,,,
sample,ConvertDateFormat.java,8,19,Q,,,,
selected,2448177.java,107,118,3,T,CR,,
selected,2355301.java,109,120,3,T,CR,,
selected,2448177.java,94,105,3,T,CR,,
selected,2355301.java,96,107,3,T,CR,,
selected,2355301.java,145,156,3,T,CR,,
selected,2576261.java,109,120,3,T,CR,,
selected,2576261.java,96,107,3,T,CR,,
selected,1783474.java,140,145,3,T,CR,,
selected,485135.java,17,22,,F,CR,,
selected,279773.java,67,72,,F,CR,,
selected,1981699.java,17,22,,F,,,
selected,2448177.java,130,141,,F,,,
selected,2355301.java,132,143,,F,,,
selected,242916.java,26,38,3,T,,,
selected,2070118.java,194,199,3,T,CR,,
sample,SetUpGraphicalViewerSelectionEventHandler.java,2,9,Q,,,,
selected,563390.java,240,246,3,T,CR,,
selected,1480035.java,113,151,,F,CR,,
selected,597617.java,334,341,3,T,CR,,
selected,2194550.java,346,353,3,T,CR,,
selected,118500.java,336,343,3,T,CR,,
selected,811805.java,72,83,3,T,CR,,
selected,2336861.java,567,587,3,T,CR,,
selected,1931569.java,347,368,,F,CR,,
selected,2207773.java,159,165,3,T,CR,,
selected,1269058.java,432,438,3,T,CR,,
selected,1148294.java,64,71,,F,,,
selected,1828398.java,327,334,,F,,,
selected,2644843.java,43,53,,F,,,
selected,777617.java,214,222,,F,,,
selected,1279795.java,382,390,,F,,,
sample,XMPPSendMessage.java,10,26,Q,,,,
selected,652416.java,81,92,3,T,,,
selected,2646196.java,22,34,3,T,,,
selected,2727082.java,97,112,3,T,,,
selected,172245.java,28,43,3,T,,,
selected,1260121.java,22,42,3,T,,,
selected,2039854.java,31,105,3,T,,,
selected,833807.java,118,146,3,T,,,
selected,1989886.java,22,44,3,T,,,
selected,2383306.java,27,40,3,T,,,
selected,1246248.java,27,41,3,T,,,
selected,510678.java,21,45,3,T,,,
selected,1964860.java,41,55,3,T,,,
selected,43984.java,49,57,3,T,,,
selected,1824506.java,755,778,3,T,,,
selected,1763071.java,402,425,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,2288080.java,25,31,3,T,CR,,
selected,1234261.java,382,412,3,T,,,
selected,1045878.java,30,42,,F,,,
selected,943597.java,15,20,3,T,,,
sample,FileChooser.java,9,36,Q,,,,
sample,FileChooser.java,38,65,2,T,,,
sample,FileChooser.java,67,94,3,T,,,
sample,FileChooser.java,96,123,3,T,,,
selected,121433.java,14,27,3,T,CR,,
selected,1234684.java,188,201,3,T,CR,,
selected,2174721.java,90,107,3,T,CR,,
selected,1130557.java,260,274,3,T,CR,,
selected,342360.java,39,53,3,T,CR,,
selected,450485.java,141,156,3,T,CR,,
selected,2737021.java,111,121,3,T,CR,,
selected,1540229.java,335,345,,F,,,
selected,1708976.java,209,229,,F,,,
selected,2125312.java,108,120,,F,,,
selected,1821253.java,220,241,,F,,,
selected,1286435.java,121,142,,F,,,
sample,ParseCSVFile.java,11,26,Q,,,,
selected,2281160.java,20,33,,F,CR,,
selected,735395.java,205,235,,F,CR,,
selected,930071.java,33,47,,F,CR,,
