sample,TestPalindrome.java,2,13,Q
selected,714671.java,51,86,3,T
selected,2547913.java,19,44,3,T
sample,BubbleSort.java,21,37,Q
sample,BubbleSort.java,21,37,1,T
sample,BubbleSort.java,165,181,3,T
sample,BubbleSort.java,129,145,3,T
sample,BubbleSort.java,57,73,3,T
sample,BubbleSort.java,93,109,3,T
sample,BubbleSort.java,201,217,3,T
sample,BubbleSort.java,238,254,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
selected,1575844.java,803,814,3,T
sample,BubbleSort.java,183,199,Q
sample,BubbleSort.java,183,199,1,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,219,236,3,T
default,115312.java,1,1418,,F
default,47376.java,1,1410,,F
default,22631.java,1,938,,F
default,3227.java,1,932,,F
default,49324.java,1,848,,F
default,85431.java,1,383,,F
default,33299.java,1,381,,F
default,102823.java,1,391,,F
sample,CopyDirectoryTree.java,30,44,Q
sample,CopyDirectoryTree.java,30,44,1,T
sample,DeleteFolderRecursively.java,20,51,,F
selected,1658160.java,140,154,,F
sample,DeleteFolderRecursively.java,22,27,,F
selected,2578751.java,253,283,,F
selected,2675844.java,202,208,,F
selected,2744271.java,102,117,,F
selected,2317036.java,36,53,,F
selected,1658160.java,42,70,,F
selected,2744271.java,54,100,,F
selected,511144.java,249,272,,F
selected,2220111.java,546,578,,F
selected,845746.java,50,64,,F
selected,2744271.java,107,114,,F
selected,2067491.java,1525,1533,,F
sample,WritePDF.java,14,29,Q
sample,WritePDF.java,14,29,1,T
selected,635296.java,17,30,,F
selected,2220702.java,22,35,,F
selected,1947631.java,22,40,,F
selected,1406944.java,31,43,,F
selected,1600867.java,26,52,,F
selected,2157969.java,47,67,,F
selected,1253085.java,18,51,,F
selected,442988.java,23,30,,F
default,133849.java,8,21,3,T
selected,991916.java,14,26,,F
selected,1334007.java,81,97,,F
selected,2234599.java,26,51,3,T
selected,1716137.java,21,35,,F
selected,1899479.java,23,37,,F
sample,ParseXML2Dom.java,17,34,Q
sample,ParseXML2Dom.java,17,34,1,T
selected,18789.java,41,49,,F
selected,76792.java,266,276,,F
selected,672372.java,127,137,,F
selected,871148.java,41,61,,F
selected,1162808.java,128,156,,F
selected,606665.java,66,72,,F
selected,1350980.java,196,201,,F
selected,2523055.java,1,144,,F
selected,1900376.java,140,160,,F
selected,164397.java,365,381,,F
selected,1850555.java,18,37,,F
selected,2512922.java,273,281,,F
default,133168.java,1,74,,F
selected,1053077.java,27,33,,F
sample,CreateRSAKeys.java,27,32,Q
sample,CreateRSAKeys.java,27,32,1,T
selected,1481756.java,56,61,,F
selected,555311.java,337,344,,F
selected,840512.java,48,54,,F
selected,58801.java,82,95,,F
selected,1172151.java,78,88,,F
default,105953.java,1604,1620,,F
sample,CreateRSAKeys.java,34,54,3,T
selected,2500575.java,199,207,,F
selected,2403466.java,206,214,,F
selected,85367.java,206,212,,F
selected,2389113.java,92,98,,F
selected,2216717.java,80,86,,F
selected,2157032.java,44,50,,F
selected,2092267.java,314,320,,F
sample,FTP_FTP4J_Samples.java,22,27,Q
sample,FTP_FTP4J_Samples.java,22,27,1,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
selected,1234261.java,382,412,3,T
selected,2547913.java,19,44,3,T
selected,2282501.java,15,25,3,T
selected,14032.java,23,34,3,T
sample,LoadFont.java,21,26,Q
sample,LoadFont.java,21,26,1,T
sample,LoadFont.java,14,19,3,T
selected,2584533.java,68,89,3,T
selected,948406.java,326,355,3,T
selected,2340916.java,398,427,3,T
selected,2064356.java,208,224,3,T
default,131555.java,11,20,3,T
selected,864100.java,64,90,3,T
selected,2055524.java,27,45,3,T
selected,337839.java,26,45,3,T
selected,1861123.java,65,91,3,T
selected,2261893.java,1191,1198,3,T
selected,2383719.java,91,125,3,T
selected,1846343.java,89,101,3,T
selected,906350.java,355,373,3,T
sample,LoadFileIntoByteArray.java,7,23,Q
sample,LoadFileIntoByteArray.java,7,23,1,T
selected,2700222.java,36,51,,F
selected,433386.java,91,105,,F
selected,1975622.java,90,104,3,T
selected,2526585.java,39,53,,F
selected,225160.java,40,54,3,T
selected,163137.java,36,50,,F
selected,728866.java,233,243,,F
selected,1847518.java,27,38,,F
selected,1257375.java,31,50,,F
selected,1006786.java,31,50,3,T
selected,1463107.java,330,338,,F
selected,1021942.java,409,417,,F
selected,683557.java,318,329,,F
selected,2432188.java,351,362,3,T
sample,CopyFileSamples.java,63,69,Q
sample,CopyFileSamples.java,63,69,1,T
sample,CopyFileSamples.java,55,61,2,T
sample,CopyFileSamples.java,42,53,3,T
selected,734567.java,14,24,,F
selected,1704283.java,46,56,,F
selected,574710.java,21,35,,F
selected,757911.java,21,31,,F
selected,352380.java,151,170,,F
selected,60460.java,65,77,3,T
selected,1318150.java,76,88,3,T
selected,2661017.java,152,170,,F
selected,2451520.java,69,80,3,T
selected,2451520.java,56,67,3,T
selected,776949.java,14,24,,F
selected,445241.java,73,89,,F
sample,BubbleSort.java,165,181,Q
sample,BubbleSort.java,165,181,1,T
sample,BubbleSort.java,129,145,3,T
sample,BubbleSort.java,21,37,3,T
sample,BubbleSort.java,57,73,3,T
sample,BubbleSort.java,93,109,3,T
sample,BubbleSort.java,201,217,3,T
sample,BubbleSort.java,238,254,3,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
selected,2461254.java,20,28,3,T
sample,DBUpdateAndRollback.java,31,50,Q
sample,DBUpdateAndRollback.java,31,50,1,T
sample,DBUpdateAndRollback.java,10,29,3,T
selected,209477.java,46,95,,F
selected,20699.java,87,136,,F
selected,1831338.java,45,94,,F
selected,138171.java,46,95,,F
selected,2453391.java,71,120,,F
selected,2411651.java,236,285,,F
selected,2355280.java,48,97,,F
selected,1996720.java,49,98,,F
selected,2553367.java,225,240,,F
selected,209477.java,97,131,,F
selected,20699.java,138,172,,F
selected,1831338.java,96,130,,F
selected,138171.java,97,131,,F
sample,BinarySearch.java,6,17,Q
sample,BinarySearch.java,6,17,1,T
sample,BinarySearch.java,19,30,3,T
sample,BinarySearch.java,32,46,3,T
sample,BinarySearch.java,48,61,3,T
selected,108362.java,260,267,,F
selected,1220418.java,182,188,,F
selected,2338938.java,5,17,,F
selected,2241768.java,198,207,,F
selected,1259181.java,292,306,,F
selected,74771.java,452,459,,F
default,106936.java,11,18,3,T
selected,789918.java,1391,1402,,F
selected,163418.java,240,261,,F
selected,2477342.java,759,800,,F
selected,192143.java,594,897,,F
sample,BubbleSort.java,39,55,Q
sample,BubbleSort.java,39,55,1,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
default,115312.java,1,1418,,F
default,47376.java,1,1410,,F
default,22631.java,1,938,,F
default,3227.java,1,932,,F
default,49324.java,1,848,,F
default,85431.java,1,383,,F
default,33299.java,1,381,,F
default,102823.java,1,391,,F
sample,CRC32FileChecksum.java,11,20,Q
sample,CRC32FileChecksum.java,11,20,1,T
selected,552291.java,139,148,3,T
selected,667744.java,153,163,3,T
selected,1245191.java,29,39,,F
selected,684416.java,73,80,,F
selected,1935035.java,300,311,3,T
selected,1397797.java,405,414,3,T
selected,2564655.java,401,413,3,T
selected,2108993.java,430,450,3,T
selected,1644293.java,63,68,,F
selected,896377.java,189,197,3,T
selected,1397797.java,416,426,3,T
selected,1241817.java,70,78,3,T
selected,2296378.java,91,106,,F
selected,746815.java,629,657,3,T
sample,ExtactUsingRegex.java,9,17,Q
sample,ExtactUsingRegex.java,9,17,1,T
selected,1242191.java,82,90,3,T
selected,2093832.java,31,41,3,T
selected,2001845.java,41,50,3,T
selected,336247.java,77,85,,F
selected,445633.java,65,73,,F
selected,1931523.java,14,24,3,T
selected,560725.java,27,37,3,T
selected,243597.java,24,31,,F
selected,2468280.java,14,24,3,T
selected,2436212.java,14,24,3,T
selected,2041094.java,14,24,3,T
selected,2055704.java,238,249,3,T
selected,386952.java,92,105,3,T
selected,560725.java,39,57,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,Q
sample,FTP_ApacheCommonsNet_Samples.java,55,60,1,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
selected,2700070.java,26,33,,F
selected,2547913.java,19,44,3,T
selected,305499.java,19,27,3,T
selected,14032.java,23,34,3,T
sample,BinarySearch.java,19,30,Q
sample,BinarySearch.java,19,30,1,T
sample,BinarySearch.java,6,17,3,T
sample,BinarySearch.java,48,61,3,T
sample,BinarySearch.java,32,46,3,T
selected,1559389.java,324,330,,F
selected,1559389.java,351,357,,F
selected,108362.java,260,267,,F
default,120457.java,10,28,,F
selected,2589151.java,23,36,,F
selected,1559389.java,299,310,,F
selected,1091355.java,26,41,,F
selected,2356379.java,39,48,,F
selected,2356379.java,22,31,,F
selected,306598.java,8,13,,F
selected,2586882.java,25,30,,F
sample,ExecuteExternalProcessAndReadInput.java,10,36,Q
sample,ExecuteExternalProcessAndReadInput.java,10,36,1,T
selected,1878518.java,36,54,,F
selected,1133111.java,108,122,,F
selected,88294.java,21,30,,F
selected,780887.java,218,249,,F
default,65932.java,65,90,3,T
selected,704278.java,81,156,,F
selected,1098569.java,183,242,,F
default,72953.java,24,71,3,T
selected,989957.java,90,120,,F
selected,2005276.java,175,202,,F
selected,1140446.java,45,81,,F
selected,2146112.java,47,75,3,T
selected,531725.java,41,65,,F
default,92509.java,28,35,,F
sample,getMACAddresInStandardForm.java,27,39,Q
sample,getMACAddresInStandardForm.java,27,39,1,T
selected,1610413.java,306,318,3,T
sample,getMACAddresInStandardForm.java,9,25,3,T
selected,1373426.java,339,366,3,T
selected,2296872.java,1798,1817,3,T
selected,256020.java,79,100,3,T
selected,127208.java,32,41,3,T
selected,524310.java,916,926,,F
selected,2454224.java,16,38,3,T
selected,2567199.java,62,69,,F
selected,2544031.java,11,34,3,T
selected,2048374.java,27,73,,F
selected,527112.java,15,34,3,T
selected,313150.java,87,97,,F
selected,2706991.java,10,33,,F
sample,ShuffleArrayInPlace.java,16,32,Q
sample,ShuffleArrayInPlace.java,16,32,1,T
sample,ShuffleArrayInPlace.java,50,66,3,T
sample,ShuffleArrayInPlace.java,34,48,3,T
selected,2212093.java,113,121,,F
selected,1999677.java,7,15,3,T
selected,2644288.java,12,19,3,T
selected,1632131.java,1216,1223,,F
selected,2668206.java,11,19,,F
selected,1706354.java,12,20,,F
selected,857749.java,21,35,,F
selected,918764.java,7,15,3,T
selected,918764.java,37,45,3,T
selected,1675335.java,31,44,,F
selected,918764.java,17,25,3,T
selected,918764.java,27,35,3,T
sample,CallMethodUsingReflection.java,28,45,Q
sample,CallMethodUsingReflection.java,28,45,1,T
sample,CallMethodUsingReflection.java,20,26,3,T
sample,CallMethodUsingReflection.java,8,18,3,T
selected,56283.java,97,119,,F
selected,850489.java,112,139,,F
selected,983598.java,96,123,,F
selected,849510.java,116,143,,F
selected,604446.java,96,123,,F
selected,543564.java,106,133,,F
selected,289288.java,96,123,,F
selected,2732819.java,96,123,,F
selected,2538714.java,107,134,,F
selected,2262718.java,102,130,,F
selected,2081805.java,96,123,,F
selected,2031034.java,96,123,,F
sample,UnZip.java,46,83,Q
sample,UnZip.java,46,83,1,T
sample,UnZip.java,3,44,3,T
selected,1521323.java,114,159,,F
selected,889273.java,280,326,,F
default,132256.java,29,65,,F
default,109059.java,29,65,,F
default,71175.java,29,65,,F
default,70133.java,29,65,,F
default,11737.java,29,65,,F
selected,992903.java,21,40,,F
selected,1117559.java,89,110,,F
selected,1522788.java,103,124,,F
selected,1159920.java,102,123,,F
selected,587362.java,242,251,,F
selected,269844.java,72,93,,F
sample,ConvertDateFormat.java,8,19,Q
sample,ConvertDateFormat.java,8,19,1,T
selected,2523055.java,1,144,,F
selected,2429470.java,1,527,,F
default,25719.java,1,1037,,F
default,48430.java,1,1038,,F
default,8803.java,1,1039,,F
default,20126.java,1,1039,,F
default,14254.java,1,1039,,F
default,80459.java,1,994,,F
default,93945.java,1,983,,F
default,33720.java,1,983,,F
default,33690.java,1,983,,F
selected,2726948.java,1,877,,F
selected,2339973.java,1,1586,,F
selected,548760.java,1,1606,,F
sample,SetUpGraphicalViewerSelectionEventHandler.java,2,9,Q
sample,SetUpGraphicalViewerSelectionEventHandler.java,2,9,1,T
selected,597617.java,334,341,,F
selected,2194550.java,346,353,,F
selected,118500.java,336,343,,F
selected,811805.java,72,83,,F
selected,2644843.java,43,53,,F
selected,1382645.java,36,52,,F
selected,1148294.java,64,71,,F
selected,1752598.java,72,83,,F
selected,283402.java,200,213,,F
selected,2032324.java,115,128,,F
selected,1828398.java,327,334,,F
selected,2432947.java,46,54,,F
selected,1677433.java,86,94,,F
selected,1587194.java,86,94,,F
sample,XMPPSendMessage.java,10,26,Q
sample,XMPPSendMessage.java,10,26,1,T
selected,652416.java,81,92,3,T
selected,2646196.java,22,34,3,T
selected,2727082.java,97,112,3,T
selected,1260121.java,22,42,3,T
selected,172245.java,28,43,3,T
selected,2039854.java,31,105,3,T
selected,833807.java,118,146,3,T
selected,1989886.java,22,44,3,T
selected,2383306.java,27,40,3,T
selected,510678.java,21,45,3,T
selected,1246248.java,27,41,3,T
selected,1964860.java,41,55,3,T
selected,43984.java,49,57,3,T
selected,1769474.java,24,64,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,Q
sample,FTP_ApacheCommonsNet_Samples.java,18,23,1,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
selected,2282501.java,15,25,3,T
selected,14032.java,23,34,3,T
selected,2547913.java,19,44,3,T
default,78839.java,105,134,,F
sample,FileChooser.java,9,36,Q
sample,FileChooser.java,9,36,1,T
sample,FileChooser.java,38,65,2,T
sample,FileChooser.java,67,94,3,T
sample,FileChooser.java,96,123,3,T
selected,2643324.java,80,100,,F
selected,1221014.java,46,63,,F
selected,450485.java,141,156,,F
selected,1221014.java,15,38,,F
selected,1234684.java,188,201,,F
selected,1130557.java,260,274,,F
selected,1693252.java,299,326,,F
selected,719200.java,281,307,,F
selected,2218241.java,69,77,,F
selected,2185569.java,30,41,,F
selected,844161.java,615,641,,F
sample,ParseCSVFile.java,11,26,Q
sample,ParseCSVFile.java,11,26,1,T
selected,2240712.java,131,145,,F
default,106464.java,115,126,,F
default,106464.java,177,191,,F
default,106464.java,450,464,,F
selected,2281160.java,20,33,,F
selected,735395.java,205,235,,F
selected,1272240.java,31,55,,F
default,99097.java,139,154,,F
default,134690.java,139,154,,F
selected,108214.java,251,261,,F
selected,2053150.java,8,15,,F
selected,1626343.java,154,176,,F
selected,1521550.java,33,48,,F
default,99097.java,219,237,,F
sample,PrimeFactors.java,18,28,Q
sample,PrimeFactors.java,18,28,1,T
selected,50360.java,8,18,2,T
sample,PrimeFactors.java,6,16,2,T
selected,2125324.java,110,123,3,T
selected,1794459.java,8,21,3,T
selected,700821.java,127,139,3,T
selected,949275.java,29,41,3,T
selected,2269578.java,7,18,3,T
selected,1638888.java,7,18,3,T
selected,1625179.java,7,18,3,T
selected,1344356.java,7,18,3,T
selected,69878.java,14,25,3,T
selected,46769.java,46,59,,F
selected,1136418.java,152,164,,F
selected,1809465.java,7,17,3,T
sample,ParseXML2Dom.java,36,47,Q
sample,ParseXML2Dom.java,36,47,1,T
selected,2582442.java,403,413,,F
selected,2582442.java,222,235,,F
selected,2333554.java,306,312,,F
selected,2582442.java,164,174,,F
selected,2582442.java,179,217,,F
selected,1146442.java,427,434,,F
selected,1822731.java,33,52,,F
selected,1801524.java,71,97,,F
selected,2009556.java,199,213,,F
selected,2299056.java,111,141,,F
selected,1377280.java,39,55,,F
selected,2299056.java,296,322,,F
selected,1189283.java,80,99,,F
selected,1144492.java,59,87,,F
sample,BubbleSort.java,201,217,Q
sample,BubbleSort.java,201,217,1,T
sample,BubbleSort.java,165,181,3,T
sample,BubbleSort.java,129,145,3,T
sample,BubbleSort.java,21,37,3,T
sample,BubbleSort.java,57,73,3,T
sample,BubbleSort.java,93,109,3,T
sample,BubbleSort.java,238,254,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,219,236,3,T
selected,1575844.java,803,814,3,T
sample,ResizeObjectArray.java,2,14,Q
sample,ResizeObjectArray.java,2,14,1,T
selected,420047.java,148,155,3,T
selected,1549754.java,28,37,3,T
selected,125045.java,192,202,3,T
selected,1820558.java,8,15,3,T
selected,2211592.java,285,292,3,T
selected,92861.java,191,198,3,T
selected,653668.java,167,174,3,T
selected,2577087.java,41,49,3,T
selected,2542923.java,55,62,3,T
selected,1727686.java,162,169,3,T
selected,62556.java,83,90,3,T
selected,1366996.java,174,181,3,T
selected,1171071.java,18,25,,F
selected,530339.java,36,47,3,T
sample,CreateJavaProject.java,16,42,Q
sample,CreateJavaProject.java,16,42,1,T
selected,930644.java,64,107,,F
selected,791524.java,64,108,,F
selected,1359154.java,171,224,3,T
selected,1924247.java,59,81,,F
selected,1892053.java,218,232,,F
selected,2683343.java,77,117,3,T
selected,963101.java,183,215,3,T
selected,314706.java,321,342,,F
selected,2191998.java,35,86,3,T
selected,1376811.java,12,22,,F
selected,1359154.java,364,416,3,T
selected,2254651.java,416,447,,F
selected,1001615.java,416,447,,F
selected,223344.java,75,121,3,T
sample,CopyFileSamples.java,71,79,Q
sample,CopyFileSamples.java,71,79,1,T
selected,2248548.java,35,48,,F
selected,2441147.java,231,241,3,T
selected,595503.java,61,66,,F
selected,38712.java,8,31,,F
selected,2313969.java,13,30,,F
selected,69220.java,355,368,,F
selected,469461.java,138,149,3,T
selected,469461.java,159,170,3,T
selected,1638830.java,99,106,,F
selected,1607195.java,506,516,,F
selected,13052.java,16,32,,F
selected,227617.java,40,54,,F
selected,2427075.java,222,235,,F
selected,423219.java,197,216,,F
sample,FTP_ApacheCommonsNet_Samples.java,11,16,Q
sample,FTP_ApacheCommonsNet_Samples.java,11,16,1,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
selected,14032.java,23,34,3,T
selected,2547913.java,19,44,3,T
selected,714671.java,51,86,3,T
selected,1234261.java,382,412,3,T
sample,ScreenShot.java,14,20,Q
sample,ScreenShot.java,14,20,1,T
selected,1090656.java,27,33,3,T
selected,1178310.java,391,403,3,T
selected,2364940.java,31,40,3,T
default,97227.java,20,32,3,T
default,22142.java,8,21,3,T
default,45575.java,19,32,3,T
selected,2082884.java,67,78,3,T
selected,1587412.java,170,182,3,T
default,128086.java,8,22,3,T
selected,512334.java,46,60,,F
default,60142.java,118,134,3,T
selected,1303102.java,19,32,3,T
selected,2514309.java,19,31,,F
selected,190087.java,454,468,3,T
sample,DownloadWebpage.java,20,30,Q
sample,DownloadWebpage.java,20,30,1,T
sample,DownloadWebpage.java,55,67,3,T
sample,DownloadWebpage.java,32,53,3,T
selected,799193.java,16,27,3,T
selected,1129009.java,68,83,,F
selected,237460.java,259,268,,F
selected,237460.java,240,249,,F
selected,1688089.java,284,293,,F
selected,1688089.java,265,274,,F
selected,113970.java,284,293,,F
selected,113970.java,265,274,,F
selected,1958759.java,130,142,,F
selected,1911736.java,62,72,,F
selected,1070572.java,69,78,,F
selected,13872.java,94,109,3,T
sample,GCD.java,24,32,Q
sample,GCD.java,24,32,1,T
selected,1757323.java,259,268,,F
selected,406250.java,276,285,,F
selected,1397520.java,50,56,,F
selected,2263766.java,7,20,,F
selected,2698515.java,9,14,,F
selected,2743289.java,7,26,,F
selected,2685049.java,114,120,,F
selected,2529987.java,56,62,,F
selected,252375.java,126,132,,F
selected,197058.java,1080,1086,,F
selected,1747091.java,114,120,,F
selected,1276573.java,85,91,,F
selected,2653247.java,156,162,,F
selected,2653247.java,140,146,,F
sample,TransposeMatrix.java,4,12,Q
sample,TransposeMatrix.java,4,12,1,T
selected,994733.java,242,250,3,T
selected,1706233.java,487,495,3,T
selected,1911150.java,187,196,3,T
selected,2520773.java,47,56,,F
selected,1347479.java,188,197,,F
selected,142994.java,9,17,,F
selected,1911150.java,308,317,,F
selected,2604410.java,241,250,,F
selected,1814816.java,241,250,,F
selected,2604410.java,463,471,3,T
selected,1814816.java,463,471,3,T
selected,1911150.java,148,157,,F
selected,2604410.java,558,566,,F
selected,1814816.java,558,566,,F
sample,PlaySound.java,21,26,Q
sample,PlaySound.java,21,26,1,T
selected,2206939.java,17,26,3,T
selected,2206939.java,14,28,3,T
selected,2297787.java,1338,1357,3,T
default,20588.java,31,45,3,T
selected,2297787.java,1335,1359,3,T
selected,2722993.java,42,47,,F
selected,2673192.java,25,34,,F
default,20588.java,28,49,3,T
selected,864287.java,95,112,3,T
selected,1383459.java,26,34,3,T
selected,631271.java,17,26,3,T
selected,2560264.java,17,26,3,T
default,20588.java,69,82,,F
selected,2701834.java,24,39,3,T
sample,BubbleSort.java,238,254,Q
sample,BubbleSort.java,238,254,1,T
sample,BubbleSort.java,165,181,3,T
sample,BubbleSort.java,129,145,3,T
sample,BubbleSort.java,21,37,3,T
sample,BubbleSort.java,57,73,3,T
sample,BubbleSort.java,93,109,3,T
sample,BubbleSort.java,201,217,3,T
sample,BubbleSort.java,219,236,3,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
selected,419242.java,5,19,3,T
sample,CallMethodUsingReflection.java,47,52,Q
sample,CallMethodUsingReflection.java,47,52,1,T
selected,2207135.java,110,118,,F
sample,CallMethodUsingReflection.java,28,45,3,T
sample,CallMethodUsingReflection.java,20,26,3,T
selected,611283.java,29,34,,F
selected,2395958.java,29,35,,F
selected,794367.java,38,49,,F
selected,2668027.java,50,63,,F
sample,CallMethodUsingReflection.java,8,18,3,T
selected,611283.java,66,73,,F
selected,558200.java,52,58,,F
selected,1980784.java,146,158,,F
selected,2617018.java,158,176,,F
selected,926345.java,31,47,,F
selected,2256439.java,437,455,,F
sample,PrimeFactors.java,6,16,Q
sample,PrimeFactors.java,6,16,1,T
selected,50360.java,8,18,2,T
sample,PrimeFactors.java,18,28,2,T
selected,2125324.java,110,123,3,T
selected,1794459.java,8,21,3,T
selected,700821.java,127,139,3,T
selected,949275.java,29,41,3,T
selected,2269578.java,7,18,3,T
selected,1638888.java,7,18,3,T
selected,1625179.java,7,18,3,T
selected,1344356.java,7,18,3,T
selected,69878.java,14,25,3,T
selected,46769.java,46,59,,F
selected,1136418.java,152,164,,F
selected,1809465.java,7,17,3,T
sample,BinarySearch.java,32,46,Q
sample,BinarySearch.java,32,46,1,T
sample,BinarySearch.java,48,61,3,T
sample,BinarySearch.java,6,17,3,T
sample,BinarySearch.java,19,30,3,T
selected,2514455.java,9,17,3,T
selected,220170.java,10,18,3,T
selected,108362.java,260,267,,F
default,106936.java,11,18,3,T
selected,541276.java,73,83,3,T
selected,541276.java,85,95,3,T
selected,1321579.java,44,54,3,T
selected,1321579.java,56,66,3,T
selected,17837.java,974,991,,F
selected,1183324.java,8,17,3,T
selected,1259181.java,292,306,,F
sample,ZipFiles.java,11,39,Q
sample,ZipFiles.java,11,39,1,T
selected,2466942.java,1,806,,F
selected,2129944.java,1,1463,,F
selected,1045642.java,277,298,3,T
default,98947.java,1,493,,F
default,7025.java,1,493,,F
default,41436.java,1,493,,F
default,35380.java,1,493,,F
default,106099.java,1,493,,F
selected,104047.java,1,961,,F
selected,835482.java,68,119,3,T
selected,606115.java,74,125,3,T
selected,173409.java,72,123,3,T
selected,1392671.java,78,129,3,T
selected,2086614.java,39,61,3,T
sample,FileChooser.java,38,65,Q
sample,FileChooser.java,38,65,1,T
sample,FileChooser.java,9,36,2,T
sample,FileChooser.java,67,94,3,T
sample,FileChooser.java,96,123,3,T
selected,2643324.java,80,100,,F
selected,900579.java,83,115,,F
selected,1221014.java,15,38,,F
selected,1221014.java,46,63,,F
selected,450485.java,141,156,,F
selected,1366207.java,332,344,,F
selected,1130557.java,260,274,,F
selected,1234684.java,188,201,,F
selected,121433.java,14,27,,F
selected,1693252.java,299,326,,F
selected,719200.java,281,307,,F
sample,BinarySearch.java,48,61,Q
sample,BinarySearch.java,48,61,1,T
sample,BinarySearch.java,32,46,3,T
sample,BinarySearch.java,19,30,3,T
sample,BinarySearch.java,6,17,3,T
default,120457.java,10,28,,F
selected,2589151.java,23,36,,F
selected,108362.java,260,267,,F
selected,1559389.java,351,357,,F
selected,1559389.java,299,310,,F
selected,1763909.java,12,28,,F
selected,2366246.java,30,40,,F
default,106936.java,11,18,3,T
selected,2514455.java,9,17,3,T
selected,220170.java,10,18,3,T
selected,218824.java,665,675,,F
sample,FTP_FTP4J_Samples.java,15,20,Q
sample,FTP_FTP4J_Samples.java,15,20,1,T
